,Arrive_time,Duration_of_stay,Station
0,1,8,0
1,1,4,7
2,10,6,6
3,15,7,6
4,15,4,5
5,15,4,7
6,15,4,0
7,15,5,1
8,16,6,8
9,16,4,6
10,17,7,2
11,17,8,8
12,18,4,3
13,19,4,0
14,20,5,3
15,20,8,1
16,21,6,4
17,21,7,4
18,22,10,2
19,22,4,4
20,22,9,7
21,22,5,0
22,22,6,6
23,22,5,7
24,23,5,4
25,23,6,3
26,23,8,6
27,23,7,7
28,23,4,3
29,23,7,8
30,24,7,6
31,24,9,3
32,25,4,8
33,25,7,4
34,25,5,7
35,25,5,4
36,25,4,4
37,25,8,2
38,26,6,5
39,26,8,4
40,26,4,3
41,26,5,3
42,26,9,3
43,26,8,3
44,27,9,2
45,27,6,0
46,27,5,0
47,27,7,0
48,28,4,3
49,28,5,0
50,28,6,3
51,28,4,3
52,28,9,1
53,28,4,0
54,28,7,7
55,28,7,3
56,29,6,0
57,29,7,6
58,29,7,0
59,29,5,6
60,29,8,6
61,30,8,0
62,30,5,0
63,30,4,3
64,30,11,7
65,30,11,3
66,30,5,1
67,31,8,8
68,31,7,3
69,31,4,0
70,32,6,3
71,32,5,3
72,32,8,8
73,32,4,0
74,32,4,6
75,32,8,0
76,32,6,3
77,32,8,0
78,32,5,2
79,33,9,2
80,33,4,5
81,33,7,3
82,33,6,7
83,33,7,0
84,33,8,4
85,33,9,6
86,33,7,3
87,33,7,0
88,33,4,3
89,33,4,1
90,33,8,2
91,34,7,0
92,34,4,1
93,34,6,2
94,34,7,4
95,34,6,2
96,34,4,4
97,34,5,5
98,34,8,1
99,34,6,3
100,35,8,7
101,35,7,3
102,35,5,7
103,35,6,8
104,35,4,0
105,35,5,4
106,35,5,3
107,35,8,3
108,35,6,4
109,36,6,4
110,36,4,3
111,36,9,8
112,36,8,6
113,36,7,3
114,36,4,0
115,36,6,3
116,36,7,2
117,36,9,7
118,36,6,4
119,36,9,3
120,36,7,1
121,37,7,3
122,37,7,5
123,37,4,3
124,37,8,5
125,37,4,3
126,37,5,3
127,37,7,0
128,37,4,6
129,38,10,6
130,38,7,0
131,38,4,3
132,38,6,8
133,38,6,3
134,38,9,4
135,38,5,0
136,38,4,3
137,38,6,7
138,38,5,0
139,39,4,2
140,39,4,3
141,39,6,3
142,39,7,3
143,39,5,0
144,39,4,4
145,39,6,4
146,39,8,7
147,39,7,4
148,40,6,6
149,40,7,4
150,40,7,2
151,41,7,3
152,41,10,5
153,41,5,0
154,42,8,3
155,42,4,8
156,42,7,2
157,42,9,4
158,42,6,7
159,42,8,3
160,42,7,6
161,43,8,0
162,43,11,2
163,44,6,4
164,45,5,1
165,45,7,1
166,45,4,2
167,45,4,3
168,45,4,3
169,46,8,3
170,46,5,6
171,46,6,3
172,46,9,3
173,46,7,4
174,46,5,4
175,46,9,4
176,46,8,0
177,46,6,0
178,46,6,8
179,47,4,3
180,47,6,7
181,47,7,3
182,47,8,3
183,47,6,3
184,47,6,4
185,47,5,4
186,48,4,3
187,48,4,4
188,48,6,3
189,48,4,2
190,48,5,3
191,48,4,3
192,48,4,4
193,48,7,8
194,48,4,6
195,48,10,4
196,48,7,7
197,48,5,3
198,48,5,0
199,49,7,3
200,49,5,1
201,49,6,7
202,49,7,3
203,49,5,2
204,49,7,3
205,49,4,7
206,49,4,3
207,49,6,4
208,49,4,6
209,50,8,3
210,50,4,1
211,50,4,0
212,50,7,0
213,50,9,3
214,51,5,3
215,51,6,0
216,51,7,8
217,51,5,7
218,51,10,0
219,51,7,4
220,51,4,7
221,52,6,8
222,52,7,4
223,52,8,5
224,53,6,3
225,54,7,0
226,54,5,0
227,54,7,7
228,55,4,4
229,55,4,6
230,56,4,5
231,56,8,1
232,57,9,7
233,57,7,3
234,58,6,5
235,58,6,3
236,59,6,2
237,59,5,4
238,60,8,3
239,61,4,1
240,61,10,3
241,61,6,6
242,61,7,6
243,61,8,2
244,62,8,0
245,63,7,3
246,63,8,2
247,63,8,4
248,63,6,3
249,63,5,1
250,63,7,3
251,63,5,6
252,64,8,3
253,64,5,0
254,64,4,3
255,64,8,0
256,64,5,7
257,64,7,6
258,64,9,6
259,65,4,5
260,65,4,5
261,65,4,3
262,65,4,5
263,65,5,4
264,66,8,0
265,66,7,7
266,67,6,3
267,67,8,8
268,67,4,4
269,68,7,0
270,68,9,4
271,69,6,7
272,69,6,5
273,69,5,1
274,69,6,0
275,70,8,2
276,71,5,4
277,71,6,5
278,71,6,6
279,71,7,0
280,71,6,0
281,71,4,5
282,71,9,5
283,72,7,3
284,72,4,4
285,72,12,4
286,72,10,0
287,72,4,8
288,72,5,7
289,72,6,6
290,73,6,7
291,73,7,3
292,73,6,6
293,73,5,5
294,73,4,4
295,73,8,0
296,73,7,6
297,73,9,3
298,74,4,6
299,74,8,3
300,74,4,1
301,75,7,4
302,75,4,7
303,75,8,3
304,75,6,1
305,75,6,2
306,75,7,7
307,76,6,2
308,76,4,8
309,76,6,5
310,76,4,7
311,76,9,0
312,76,4,5
313,76,7,1
314,76,6,0
315,76,7,0
316,76,4,3
317,76,7,4
318,77,8,6
319,77,4,4
320,77,7,2
321,77,7,3
322,77,7,2
323,77,6,8
324,77,4,0
325,77,9,7
326,78,6,6
327,78,4,2
328,79,9,0
329,79,4,0
330,79,4,3
331,79,6,3
332,79,4,6
333,80,6,4
334,80,6,0
335,80,4,2
336,81,8,1
337,81,6,0
338,82,7,3
339,82,8,3
340,82,9,6
341,82,4,2
342,85,5,3
343,85,6,4
