Time_slot,Clock_time,New_arrivals,Active_vehicles,PV_raw,WT_raw,Load_raw,Price_raw,PV_norm,WT_norm,Load_norm,Price_norm,Price_t_plus_1_norm,Price_t_plus_2_norm,Price_t_plus_3_norm,Price_t_plus_4_norm,Price_t_plus_5_norm,Active_station_0,Active_station_1,Active_station_2,Active_station_3,Active_station_4,Active_station_5,Active_station_6,Active_station_7,Active_station_8
0,00:00,0,0,0.0,26.00888468,6.18597632,919.48007987,0.0,0.26008885,0.06185976,0.61678774,0.57720802,0.6081904,0.63230831,0.74148585,0.74021731,0,0,0,0,0,0,0,0,0
1,00:15,0,0,0.0,54.97525476,20.21012882,878.01121293,0.0,0.54975255,0.20210129,0.57720802,0.6081904,0.63230831,0.74148585,0.74021731,0.93649055,0,0,0,0,0,0,0,0,0
2,00:30,0,0,0.0,64.00359923,30.98495653,910.4723817,0.0,0.64003599,0.30984957,0.6081904,0.63230831,0.74148585,0.74021731,0.93649055,0.80977695,0,0,0,0,0,0,0,0,0
3,00:45,0,0,0.0,37.73403328,4.39991941,935.74144073,0.0,0.37734033,0.04399919,0.63230831,0.74148585,0.74021731,0.93649055,0.80977695,0.75838595,0,0,0,0,0,0,0,0,0
4,01:00,0,0,0.0,45.63079327,37.46490257,1050.13001978,0.0,0.45630793,0.37464903,0.74148585,0.74021731,0.93649055,0.80977695,0.75838595,0.79585114,0,0,0,0,0,0,0,0,0
5,01:15,0,0,0.0,43.61875713,36.36809283,1048.80093379,0.0,0.43618757,0.36368093,0.74021731,0.93649055,0.80977695,0.75838595,0.79585114,0.68813997,0,0,0,0,0,0,0,0,0
6,01:30,0,0,0.0,18.93622832,60.7219079,1254.44228629,0.0,0.18936228,0.60721908,0.93649055,0.80977695,0.75838595,0.79585114,0.68813997,0.78437528,0,0,0,0,0,0,0,0,0
7,01:45,0,0,0.0,39.62493967,60.32817453,1121.68064935,0.0,0.3962494,0.60328175,0.80977695,0.75838595,0.79585114,0.68813997,0.78437528,0.71579439,0,0,0,0,0,0,0,0,0
8,02:00,0,0,3.34554804,14.37563048,26.25026664,1067.83676552,0.03345548,0.1437563,0.26250267,0.75838595,0.79585114,0.68813997,0.78437528,0.71579439,0.76733297,0,0,0,0,0,0,0,0,0
9,02:15,0,0,0.0,32.61799268,55.21179236,1107.09016016,0.0,0.32617993,0.55211792,0.79585114,0.68813997,0.78437528,0.71579439,0.76733297,0.71458047,0,0,0,0,0,0,0,0,0
10,02:30,0,0,0.0,27.40643374,19.31672988,994.23794426,0.0,0.27406434,0.1931673,0.68813997,0.78437528,0.71579439,0.76733297,0.71458047,0.62198108,0,0,0,0,0,0,0,0,0
11,02:45,0,0,5.09159585,10.88374201,36.16151299,1095.06655766,0.05091596,0.10883742,0.36161513,0.78437528,0.71579439,0.76733297,0.71458047,0.62198108,0.52735394,0,0,0,0,0,0,0,0,0
12,03:00,0,0,0.0,18.18089982,22.36076069,1023.21230382,0.0,0.181809,0.22360761,0.71579439,0.76733297,0.71458047,0.62198108,0.52735394,0.5217894,0,0,0,0,0,0,0,0,0
13,03:15,0,0,0.0,1.20648423,23.03070887,1077.21082054,0.0,0.01206484,0.23030709,0.76733297,0.71458047,0.62198108,0.52735394,0.5217894,0.57299973,0,0,0,0,0,0,0,0,0
14,03:30,0,0,0.0,29.6477605,45.14609548,1021.94045202,0.0,0.29647761,0.45146095,0.71458047,0.62198108,0.52735394,0.5217894,0.57299973,0.45082517,0,0,0,0,0,0,0,0,0
15,03:45,0,0,0.0,22.95342467,14.40326576,924.92129047,0.0,0.22953425,0.14403266,0.62198108,0.52735394,0.5217894,0.57299973,0.45082517,0.5401764,0,0,0,0,0,0,0,0,0
16,04:00,0,0,15.82353165,41.97396442,28.15264409,825.77760784,0.15823532,0.41973964,0.28152644,0.52735394,0.5217894,0.57299973,0.45082517,0.5401764,0.52470254,0,0,0,0,0,0,0,0,0
17,04:15,0,0,20.73108126,12.45975604,0.0,819.94746574,0.20731081,0.12459756,0.0,0.5217894,0.57299973,0.45082517,0.5401764,0.52470254,0.45026739,0,0,0,0,0,0,0,0,0
18,04:30,0,0,19.21067351,25.86583876,30.19993089,873.60206843,0.19210674,0.25865839,0.30199931,0.57299973,0.45082517,0.5401764,0.52470254,0.45026739,0.43021372,0,0,0,0,0,0,0,0,0
19,04:45,0,0,13.32283351,66.52967797,25.81070802,745.59611988,0.13322834,0.66529678,0.25810708,0.45082517,0.5401764,0.52470254,0.45026739,0.43021372,0.59127698,0,0,0,0,0,0,0,0,0
20,05:00,0,0,6.84316014,51.95057829,29.06688085,839.2120837,0.0684316,0.51950578,0.29066881,0.5401764,0.52470254,0.45026739,0.43021372,0.59127698,0.72029745,0,0,0,0,0,0,0,0,0
21,05:15,0,0,33.25194362,59.76330924,64.96534008,822.99965406,0.33251944,0.59763309,0.6496534,0.52470254,0.45026739,0.43021372,0.59127698,0.72029745,0.58648274,0,0,0,0,0,0,0,0,0
22,05:30,0,0,36.41060768,43.63094123,23.1517521,745.01171504,0.36410608,0.43630941,0.23151752,0.45026739,0.43021372,0.59127698,0.72029745,0.58648274,0.50452076,0,0,0,0,0,0,0,0,0
23,05:45,0,0,43.03335854,77.06441872,66.7556368,724.00088707,0.43033359,0.77064419,0.66755637,0.43021372,0.59127698,0.72029745,0.58648274,0.50452076,0.32225193,0,0,0,0,0,0,0,0,0
24,06:00,0,0,46.24257155,18.27435565,58.36603713,892.75168734,0.46242572,0.18274356,0.58366037,0.59127698,0.72029745,0.58648274,0.50452076,0.32225193,0.57582549,0,0,0,0,0,0,0,0,0
25,06:15,0,0,14.54883788,18.0923727,61.5059735,1027.93030227,0.14548838,0.18092373,0.61505974,0.72029745,0.58648274,0.50452076,0.32225193,0.57582549,0.37687296,0,0,0,0,0,0,0,0,0
26,06:30,0,0,22.9229779,0.0,15.13606698,887.72862066,0.22922978,0.0,0.15136067,0.58648274,0.50452076,0.32225193,0.57582549,0.37687296,0.45065433,0,0,0,0,0,0,0,0,0
27,06:45,0,0,54.970848,1.94654483,30.40909589,801.85459822,0.54970848,0.01946545,0.30409096,0.50452076,0.32225193,0.57582549,0.37687296,0.45065433,0.37821273,0,0,0,0,0,0,0,0,0
28,07:00,0,0,51.36261676,33.29178767,0.0,610.88608847,0.51362617,0.33291788,0.0,0.32225193,0.57582549,0.37687296,0.45065433,0.37821273,0.61352368,0,0,0,0,0,0,0,0,0
29,07:15,0,0,41.78016729,11.85578437,36.99446953,876.56270056,0.41780167,0.11855784,0.3699447,0.57582549,0.37687296,0.45065433,0.37821273,0.61352368,0.36878461,0,0,0,0,0,0,0,0,0
30,07:30,0,0,57.66622375,20.67825,0.0,668.11417777,0.57666224,0.2067825,0.0,0.37687296,0.45065433,0.37821273,0.61352368,0.36878461,0.31722162,0,0,0,0,0,0,0,0,0
31,07:45,0,0,59.83228286,4.16826738,0.0,745.41712491,0.59832283,0.04168267,0.0,0.45065433,0.37821273,0.61352368,0.36878461,0.31722162,0.41006489,0,0,0,0,0,0,0,0,0
32,08:00,0,0,74.78587147,15.5946004,11.17698358,669.51789115,0.74785871,0.155946,0.11176984,0.37821273,0.61352368,0.36878461,0.31722162,0.41006489,0.0,0,0,0,0,0,0,0,0,0
