Arrive_time,Duration_of_stay,Station
14,11,0
14,11,0
30,8,6
35,4,1
35,4,6
35,4,6
37,4,1
38,6,4
38,6,4
38,6,4
38,6,4
39,4,2
39,4,2
39,4,2
39,9,3
39,9,3
39,9,3
39,9,3
39,7,7
39,7,7
39,7,7
39,7,7
40,4,7
40,4,7
40,4,7
40,7,7
40,7,7
40,7,7
41,4,0
41,4,0
41,4,0
41,5,0
41,5,0
41,5,0
42,7,8
42,7,8
42,7,8
42,7,8
42,7,8
44,6,0
44,6,0
44,4,2
44,4,2
44,7,4
44,7,4
44,7,4
44,7,4
44,4,6
45,4,0
45,4,1
45,4,1
45,4,1
45,4,1
45,4,1
45,4,1
45,4,1
45,8,4
45,8,4
45,8,4
45,8,4
45,8,4
45,4,6
46,8,7
46,6,8
46,6,8
47,8,4
47,8,4
47,8,4
48,4,0
48,4,0
48,4,0
48,4,0
48,4,0
48,12,8
48,12,8
48,12,8
49,4,0
49,4,0
49,4,0
49,4,0
49,4,0
49,4,0
49,4,0
49,4,0
49,4,1
49,4,1
49,4,1
49,4,1
49,4,1
49,4,1
49,4,1
49,4,3
49,4,3
49,8,4
49,8,4
49,8,4
49,4,5
49,4,5
50,5,2
50,5,2
50,5,2
50,5,2
50,10,3
50,10,3
50,10,3
50,10,3
50,10,3
51,4,2
51,4,2
51,4,2
51,4,2
51,4,2
51,4,2
51,4,2
51,6,5
51,6,5
51,6,5
51,6,5
51,4,8
51,4,8
52,4,2
52,8,2
52,8,2
52,4,8
52,4,8
52,4,8
52,4,8
53,4,1
53,4,1
53,4,1
53,6,3
53,7,4
53,7,4
53,7,4
53,7,4
53,11,4
53,11,4
53,11,4
54,6,3
54,6,3
54,6,3
54,8,8
54,8,8
54,8,8
54,8,8
55,11,2
55,11,2
55,11,2
55,4,3
55,4,3
55,4,3
56,4,2
56,4,2
56,4,2
56,4,2
56,4,5
56,4,5
56,4,6
56,10,8
58,4,0
58,4,0
58,4,0
58,4,0
59,4,6
59,4,6
59,4,6
59,4,6
59,4,6
59,4,7
59,4,7
59,4,7
59,4,7
59,4,7
59,9,8
59,9,8
59,9,8
59,9,8
59,9,8
59,9,8
60,9,4
60,9,4
60,9,4
60,9,4
60,9,4
60,10,4
60,10,4
60,10,4
60,10,4
60,10,4
60,10,4
60,4,7
60,4,7
60,4,7
60,4,7
61,4,1
61,4,1
61,4,1
61,4,1
61,4,1
61,4,1
61,4,1
61,4,3
61,4,3
61,4,3
62,6,1
62,7,2
62,12,4
62,12,4
62,4,5
62,4,5
62,4,5
62,4,5
62,4,5
62,4,5
62,9,8
62,9,8
62,10,8
62,10,8
63,10,4
63,10,4
63,4,5
63,4,5
63,4,5
64,4,2
64,4,2
64,4,2
64,5,2
64,5,2
64,5,2
64,5,2
64,9,2
64,9,2
64,5,7
64,5,7
64,5,7
64,5,8
64,5,8
64,5,8
64,5,8
66,4,0
66,4,0
66,4,0
67,4,1
67,4,6
67,4,6
67,4,6
68,4,3
68,4,3
68,4,3
68,4,5
68,4,5
68,4,5
68,4,5
68,4,5
69,4,0
69,4,0
69,4,0
69,8,0
69,8,0
69,8,0
69,4,7
69,4,7
69,4,7
69,4,7
70,5,1
70,5,1
70,5,1
70,7,1
70,7,1
70,7,1
70,7,1
70,4,8
70,4,8
70,4,8
70,4,8
70,4,8
70,4,8
71,4,1
71,4,1
71,4,1
71,6,8
71,6,8
72,5,5
72,5,5
72,5,5
72,4,8
72,4,8
72,4,8
73,4,1
73,4,1
73,4,1
73,8,2
73,8,2
73,8,2
73,8,2
73,8,2
73,8,2
73,8,2
73,8,2
73,8,2
76,9,1
76,9,1
76,9,1
76,9,1
76,4,3
76,4,3
76,4,3
76,4,3
76,4,3
76,5,3
76,5,3
77,5,0
77,10,6
77,10,6
77,10,6
77,10,6
77,10,6
78,4,0
78,4,0
78,4,0
78,4,0
78,4,4
78,4,4
78,4,5
78,4,5
79,4,1
79,4,1
79,4,1
80,4,1
80,4,1
80,4,3
80,4,3
80,4,3
80,4,6
80,4,6
80,4,6
81,4,0
81,4,0
81,4,0
81,4,0
81,9,1
81,9,1
81,9,1
83,7,0
