Scenario_ID,Split,Vehicle_File,Signal_File,Context_File,Scenario_Seed,Signal_Seed,Generation_Attempt,Anchor_Date,Day_Type,Season,Source_Dates,Sessions
train_day_0001,train,data/train/vehicles/train_day_0001.csv,data/train/signals/train_day_0001.json,data/train/contexts/train_day_0001.csv,310001,13310001,0,2018-09-25,weekday,autumn,2018-09-25|2018-09-24|2018-09-27|2018-09-28|2018-09-21|2018-09-20|2018-09-19,344
train_day_0002,train,data/train/vehicles/train_day_0002.csv,data/train/signals/train_day_0002.json,data/train/contexts/train_day_0002.csv,310002,13310002,0,2018-11-27,weekday,autumn,2018-11-27|2018-11-26|2018-11-28|2018-11-29|2018-11-30|2018-11-23|2018-11-22,344
train_day_0003,train,data/train/vehicles/train_day_0003.csv,data/train/signals/train_day_0003.json,data/train/contexts/train_day_0003.csv,310003,13310003,0,2019-07-08,weekday,summer,2019-07-08|2019-07-10|2019-07-05|2019-07-11|2019-07-04|2019-07-03|2019-07-02,344
train_day_0004,train,data/train/vehicles/train_day_0004.csv,data/train/signals/train_day_0004.json,data/train/contexts/train_day_0004.csv,310004,13310004,0,2018-12-13,weekday,winter,2018-12-13|2018-12-12|2018-12-14|2018-12-10|2018-12-18|2018-12-07|2018-12-19,344
train_day_0005,train,data/train/vehicles/train_day_0005.csv,data/train/signals/train_day_0005.json,data/train/contexts/train_day_0005.csv,310005,13310005,0,2018-11-17,weekend,autumn,2018-11-17|2018-11-18|2018-11-11|2018-11-10|2018-11-24|2018-11-04|2018-10-28,344
train_day_0006,train,data/train/vehicles/train_day_0006.csv,data/train/signals/train_day_0006.json,data/train/contexts/train_day_0006.csv,310006,13310006,0,2019-08-07,weekday,summer,2019-08-07|2019-08-06|2019-08-05|2019-08-09|2019-08-02|2019-08-12|2019-08-01,344
train_day_0007,train,data/train/vehicles/train_day_0007.csv,data/train/signals/train_day_0007.json,data/train/contexts/train_day_0007.csv,310007,13310007,0,2018-11-15,weekday,autumn,2018-11-15|2018-11-14|2018-11-12|2018-11-19|2018-11-20|2018-11-22|2018-11-23,344
train_day_0008,train,data/train/vehicles/train_day_0008.csv,data/train/signals/train_day_0008.json,data/train/contexts/train_day_0008.csv,310008,13310008,0,2019-06-07,weekday,summer,2019-06-07|2019-06-06|2019-06-05|2019-06-10|2019-06-03|2019-06-11|2019-06-12,344
train_day_0009,train,data/train/vehicles/train_day_0009.csv,data/train/signals/train_day_0009.json,data/train/contexts/train_day_0009.csv,310009,13310009,0,2019-05-22,weekday,spring,2019-05-22|2019-05-21|2019-05-17|2019-05-27|2019-05-16|2019-05-28|2019-05-29,344
train_day_0010,train,data/train/vehicles/train_day_0010.csv,data/train/signals/train_day_0010.json,data/train/contexts/train_day_0010.csv,310010,13310010,0,2018-10-03,weekday,autumn,2018-10-03|2018-10-02|2018-10-04|2018-10-01|2018-10-05|2018-09-28|2018-10-08,344
train_day_0011,train,data/train/vehicles/train_day_0011.csv,data/train/signals/train_day_0011.json,data/train/contexts/train_day_0011.csv,310011,13310011,0,2019-04-25,weekday,spring,2019-04-25|2019-04-26|2019-04-23|2019-04-22|2019-04-29|2019-04-30|2019-04-19,344
train_day_0012,train,data/train/vehicles/train_day_0012.csv,data/train/signals/train_day_0012.json,data/train/contexts/train_day_0012.csv,310012,13310012,0,2019-06-15,weekend,summer,2019-06-15|2019-06-09|2019-06-22|2019-06-02|2019-06-01|2019-06-29|2019-06-30,344
train_day_0013,train,data/train/vehicles/train_day_0013.csv,data/train/signals/train_day_0013.json,data/train/contexts/train_day_0013.csv,310013,13310013,0,2019-08-13,weekday,summer,2019-08-13|2019-08-12|2019-08-14|2019-08-15|2019-08-16|2019-08-09|2019-08-07,344
train_day_0014,train,data/train/vehicles/train_day_0014.csv,data/train/signals/train_day_0014.json,data/train/contexts/train_day_0014.csv,310014,13310014,0,2018-10-21,weekend,autumn,2018-10-21|2018-10-27|2018-10-28|2018-10-13|2018-10-07|2018-11-04|2018-10-06,344
