Scenario_ID,Split,File,Scenario_Seed,Anchor_Date,Anchor_Day_Type,Anchor_Season,Source_Dates,Source_Pool_Size,Sessions
train_day_0001,train,train/train_day_0001.csv,310001,2018-09-25,weekday,autumn,2018-09-25|2018-09-24|2018-09-27|2018-09-28|2018-09-21|2018-09-20|2018-09-19,117,344
train_day_0002,train,train/train_day_0002.csv,310002,2018-11-27,weekday,autumn,2018-11-27|2018-11-26|2018-11-28|2018-11-29|2018-11-30|2018-11-23|2018-11-22,140,344
train_day_0003,train,train/train_day_0003.csv,310003,2019-07-08,weekday,summer,2019-07-08|2019-07-10|2019-07-05|2019-07-11|2019-07-04|2019-07-03|2019-07-02,144,344
train_day_0004,train,train/train_day_0004.csv,310004,2018-12-13,weekday,winter,2018-12-13|2018-12-12|2018-12-14|2018-12-10|2018-12-18|2018-12-07|2018-12-19,148,344
train_day_0005,train,train/train_day_0005.csv,310005,2018-11-17,weekend,autumn,2018-11-17|2018-11-18|2018-11-11|2018-11-10|2018-11-24|2018-11-04|2018-10-28,141,344
train_day_0006,train,train/train_day_0006.csv,310006,2019-08-07,weekday,summer,2019-08-07|2019-08-06|2019-08-05|2019-08-09|2019-08-02|2019-08-12|2019-08-01,166,344
train_day_0007,train,train/train_day_0007.csv,310007,2018-11-15,weekday,autumn,2018-11-15|2018-11-14|2018-11-12|2018-11-19|2018-11-20|2018-11-22|2018-11-23,132,344
train_day_0008,train,train/train_day_0008.csv,310008,2019-06-07,weekday,summer,2019-06-07|2019-06-06|2019-06-05|2019-06-10|2019-06-03|2019-06-11|2019-06-12,138,344
train_day_0009,train,train/train_day_0009.csv,310009,2019-05-22,weekday,spring,2019-05-22|2019-05-21|2019-05-17|2019-05-27|2019-05-16|2019-05-28|2019-05-29,161,344
train_day_0010,train,train/train_day_0010.csv,310010,2018-10-03,weekday,autumn,2018-10-03|2018-10-02|2018-10-04|2018-10-01|2018-10-05|2018-09-28|2018-10-08,121,344
train_day_0011,train,train/train_day_0011.csv,310011,2019-04-25,weekday,spring,2019-04-25|2019-04-26|2019-04-23|2019-04-22|2019-04-29|2019-04-30|2019-04-19,141,344
train_day_0012,train,train/train_day_0012.csv,310012,2019-06-15,weekend,summer,2019-06-15|2019-06-09|2019-06-22|2019-06-02|2019-06-01|2019-06-29|2019-06-30,128,344
train_day_0013,train,train/train_day_0013.csv,310013,2019-08-13,weekday,summer,2019-08-13|2019-08-12|2019-08-14|2019-08-15|2019-08-16|2019-08-09|2019-08-07,144,344
train_day_0014,train,train/train_day_0014.csv,310014,2018-10-21,weekend,autumn,2018-10-21|2018-10-27|2018-10-28|2018-10-13|2018-10-07|2018-11-04|2018-10-06,111,344
train_day_0015,train,train/train_day_0015.csv,310015,2019-03-06,weekday,spring,2019-03-06|2019-03-05|2019-03-04|2019-03-08|2019-03-11|2019-03-12|2019-03-14,165,344
train_day_0016,train,train/train_day_0016.csv,310016,2019-03-03,weekend,spring,2019-03-03|2019-03-02|2019-03-09|2019-03-10|2019-03-17|2019-03-24|2019-03-31,120,344
train_day_0017,train,train/train_day_0017.csv,310017,2019-07-22,weekday,summer,2019-07-22|2019-07-19|2019-07-26|2019-07-17|2019-07-16|2019-07-15|2019-07-29,154,344
train_day_0018,train,train/train_day_0018.csv,310018,2019-06-05,weekday,summer,2019-06-05|2019-06-06|2019-06-03|2019-06-07|2019-06-10|2019-06-11|2019-06-12,138,344
train_day_0019,train,train/train_day_0019.csv,310019,2018-11-29,weekday,autumn,2018-11-29|2018-11-28|2018-11-30|2018-11-27|2018-11-26|2018-11-23|2018-11-22,140,344
train_day_0020,train,train/train_day_0020.csv,310020,2018-10-25,weekday,autumn,2018-10-25|2018-10-26|2018-10-23|2018-10-29|2018-10-30|2018-10-19|2018-10-17,148,344
train_day_0021,train,train/train_day_0021.csv,310021,2019-02-22,weekday,winter,2019-02-22|2019-02-21|2019-02-19|2019-02-25|2019-02-18|2019-02-26|2019-02-27,127,344
train_day_0022,train,train/train_day_0022.csv,310022,2018-11-12,weekday,autumn,2018-11-12|2018-11-14|2018-11-15|2018-11-06|2018-11-05|2018-11-19|2018-11-20,128,344
train_day_0023,train,train/train_day_0023.csv,310023,2019-01-29,weekday,winter,2019-01-29|2019-01-28|2019-01-25|2019-01-24|2019-02-04|2019-01-21|2019-02-06,158,344
train_day_0024,train,train/train_day_0024.csv,310024,2018-11-11,weekend,autumn,2018-11-11|2018-11-10|2018-11-17|2018-11-04|2018-11-18|2018-11-24|2018-10-28,141,344
train_day_0025,train,train/train_day_0025.csv,310025,2018-11-28,weekday,autumn,2018-11-28|2018-11-27|2018-11-29|2018-11-26|2018-11-30|2018-11-23|2018-11-22,140,344
train_day_0026,train,train/train_day_0026.csv,310026,2019-04-28,weekend,spring,2019-04-28|2019-04-27|2019-05-04|2019-04-21|2019-05-05|2019-04-20|2019-05-11,132,344
train_day_0027,train,train/train_day_0027.csv,310027,2018-12-21,weekday,winter,2018-12-21|2018-12-20|2018-12-19|2018-12-18|2018-12-24|2018-12-25|2018-12-14,119,344
train_day_0028,train,train/train_day_0028.csv,310028,2019-05-06,weekday,spring,2019-05-06|2019-05-07|2019-05-08|2019-05-03|2019-05-09|2019-05-01|2019-04-30,155,344
train_day_0029,train,train/train_day_0029.csv,310029,2019-03-20,weekday,spring,2019-03-20|2019-03-19|2019-03-18|2019-03-22|2019-03-15|2019-03-25|2019-03-14,150,344
train_day_0030,train,train/train_day_0030.csv,310030,2018-10-27,weekend,autumn,2018-10-27|2018-10-28|2018-10-21|2018-11-04|2018-10-13|2018-11-10|2018-11-11,131,344
