Scenario_ID,Split,Mean_Arrive_time,Std_Arrive_time,Mean_Duration_of_stay,Std_Duration_of_stay,Station_0_Count,Station_1_Count,Station_2_Count,Station_3_Count,Station_4_Count,Station_5_Count,Station_6_Count,Station_7_Count,Station_8_Count
train_day_0001,train,56.01162790697674,13.840028049815734,5.491279069767442,2.298870954687564,45,80,36,54,45,12,35,26,11
train_day_0002,train,55.61337209302326,14.65649099081606,5.494186046511628,2.0965006642388975,53,74,36,48,24,23,41,29,16
train_day_0003,train,56.90406976744186,14.108367373605669,5.700581395348837,2.3736439725643512,62,40,42,43,63,30,12,22,30
train_day_0004,train,55.52906976744186,12.451500014979702,5.872093023255814,2.5780672029593372,46,36,59,61,41,19,32,29,21
train_day_0005,train,53.491279069767444,11.676100346186354,5.869186046511628,2.4058512563565264,48,63,53,34,29,42,31,20,24
train_day_0006,train,55.31395348837209,11.863331846891269,5.9854651162790695,2.498212922655445,55,30,43,25,65,48,45,14,19
train_day_0007,train,54.88081395348837,15.328013700040934,5.816860465116279,2.483352835605809,56,61,35,44,27,19,42,34,26
train_day_0008,train,56.10755813953488,14.235255565463573,6.575581395348837,2.707673679563825,60,32,68,32,70,24,26,20,12
train_day_0009,train,55.01453488372093,13.150396506266986,5.90406976744186,2.4517639012944623,51,56,58,43,59,30,36,3,8
train_day_0010,train,59.03779069767442,14.449039229438991,5.604651162790698,2.376136544542969,38,68,42,62,30,17,61,3,23
train_day_0011,train,57.42151162790697,11.779204282502896,5.482558139534884,1.9911835828404378,19,69,60,48,48,43,32,5,20
train_day_0012,train,56.0843023255814,13.187661079426045,5.566860465116279,2.241561831769602,60,69,62,41,15,47,15,11,24
train_day_0013,train,56.23837209302326,13.343020722500645,5.770348837209302,2.4309400744885634,76,45,34,43,49,28,38,21,10
train_day_0014,train,53.883720930232556,11.042116628756023,6.063953488372093,2.574806960056928,89,55,54,45,8,53,12,18,10
train_day_0015,train,57.93313953488372,14.934300130099128,6.215116279069767,2.7650651803520754,44,75,52,56,27,11,30,37,12
train_day_0016,train,53.69476744186046,13.178663889888874,5.819767441860465,2.499317105216611,91,39,48,32,15,41,25,32,21
train_day_0017,train,55.906976744186046,12.526138166711727,5.825581395348837,2.231861567689243,49,33,53,31,42,53,30,19,34
train_day_0018,train,55.44186046511628,13.78139515261873,6.52906976744186,2.58107451389829,42,33,74,32,66,38,25,20,14
train_day_0019,train,54.88662790697674,14.81755111977442,5.316860465116279,1.9621877690463603,65,87,28,36,39,22,25,23,19
train_day_0020,train,50.19476744186046,14.228610076650444,5.563953488372093,2.244238763087307,48,51,41,34,32,61,34,33,10
train_day_0021,train,56.43895348837209,13.833595568277753,6.034883720930233,2.5629183693349513,46,40,42,53,38,26,33,49,17
train_day_0022,train,55.70639534883721,15.650186298972178,5.508720930232558,2.24772096283574,53,48,46,28,27,26,57,26,33
train_day_0023,train,56.872093023255815,15.213631060264946,5.648255813953488,2.1447874572751497,53,60,54,41,30,6,43,44,13
train_day_0024,train,53.36046511627907,11.601335920164713,6.005813953488372,2.6159108267979603,57,56,58,28,18,44,22,26,35
train_day_0025,train,54.48546511627907,15.630352787830445,5.444767441860465,2.1437785738792354,54,75,38,49,32,26,22,31,17
train_day_0026,train,52.281976744186046,14.445733281698468,5.613372093023256,2.357310800548793,76,51,60,34,25,52,31,4,11
train_day_0027,train,54.76744186046512,12.210055347763868,5.924418604651163,2.5891291544182415,61,30,61,34,38,25,41,28,26
train_day_0028,train,57.80232558139535,13.86275734128312,5.575581395348837,2.1660936894053715,78,70,56,23,38,20,25,0,34
train_day_0029,train,53.97674418604651,12.746843425203442,6.023255813953488,2.684913684403794,50,82,33,48,41,29,16,30,15
train_day_0030,train,54.25,11.814764610041864,5.883720930232558,2.5763621578946725,86,47,37,49,3,57,15,35,15
train_day_0031,train,55.60755813953488,16.750392250599546,5.813953488372093,2.444793366010271,44,58,56,56,24,10,46,44,6
