Source_Date,Split,Day_Type,Season,Eligible_Sessions
2018-09-01,train,weekend,autumn,23
2018-09-02,train,weekend,autumn,13
2018-09-03,train,weekday,autumn,14
2018-09-04,val,weekday,autumn,24
2018-09-05,test,weekday,autumn,12
2018-09-06,test,weekday,autumn,16
2018-09-07,train,weekday,autumn,19
2018-09-08,test,weekend,autumn,15
2018-09-09,train,weekend,autumn,12
2018-09-10,train,weekday,autumn,10
2018-09-11,train,weekday,autumn,11
2018-09-12,train,weekday,autumn,16
2018-09-13,train,weekday,autumn,20
2018-09-14,val,weekday,autumn,15
2018-09-15,val,weekend,autumn,14
2018-09-16,train,weekend,autumn,14
2018-09-17,test,weekday,autumn,19
2018-09-18,train,weekday,autumn,19
2018-09-19,train,weekday,autumn,13
2018-09-20,train,weekday,autumn,21
2018-09-21,train,weekday,autumn,15
2018-09-22,train,weekend,autumn,18
2018-09-23,train,weekend,autumn,15
2018-09-24,train,weekday,autumn,18
2018-09-25,train,weekday,autumn,14
2018-09-26,val,weekday,autumn,16
2018-09-27,train,weekday,autumn,21
2018-09-28,train,weekday,autumn,15
2018-09-29,train,weekend,autumn,11
2018-09-30,val,weekend,autumn,21
2018-10-01,train,weekday,autumn,17
2018-10-02,train,weekday,autumn,18
2018-10-03,train,weekday,autumn,22
2018-10-04,train,weekday,autumn,17
2018-10-05,train,weekday,autumn,20
2018-10-06,train,weekend,autumn,13
2018-10-07,train,weekend,autumn,7
2018-10-08,train,weekday,autumn,12
2018-10-09,test,weekday,autumn,18
2018-10-10,train,weekday,autumn,13
2018-10-11,val,weekday,autumn,17
2018-10-12,train,weekday,autumn,13
2018-10-13,train,weekend,autumn,21
2018-10-14,test,weekend,autumn,13
2018-10-15,val,weekday,autumn,22
2018-10-16,train,weekday,autumn,15
2018-10-17,train,weekday,autumn,19
2018-10-18,test,weekday,autumn,22
2018-10-19,train,weekday,autumn,23
2018-10-20,val,weekend,autumn,18
2018-10-21,train,weekend,autumn,13
2018-10-22,test,weekday,autumn,20
2018-10-23,train,weekday,autumn,18
2018-10-24,val,weekday,autumn,14
2018-10-25,train,weekday,autumn,18
2018-10-26,train,weekday,autumn,23
2018-10-27,train,weekend,autumn,19
2018-10-28,train,weekend,autumn,20
2018-10-29,train,weekday,autumn,22
2018-10-30,train,weekday,autumn,25
2018-10-31,test,weekday,autumn,17
2018-11-01,test,weekday,autumn,17
2018-11-02,train,weekday,autumn,26
2018-11-03,val,weekend,autumn,18
2018-11-04,train,weekend,autumn,18
2018-11-05,train,weekday,autumn,11
2018-11-06,train,weekday,autumn,23
2018-11-07,val,weekday,autumn,11
2018-11-08,val,weekday,autumn,16
2018-11-09,test,weekday,autumn,25
2018-11-10,train,weekend,autumn,21
2018-11-11,train,weekend,autumn,19
2018-11-12,train,weekday,autumn,17
2018-11-13,val,weekday,autumn,20
2018-11-14,train,weekday,autumn,18
2018-11-15,train,weekday,autumn,17
2018-11-16,test,weekday,autumn,21
2018-11-17,train,weekend,autumn,18
2018-11-18,train,weekend,autumn,17
2018-11-19,train,weekday,autumn,24
2018-11-20,train,weekday,autumn,18
2018-11-21,test,weekday,autumn,20
2018-11-22,train,weekday,autumn,19
2018-11-23,train,weekday,autumn,19
2018-11-24,train,weekend,autumn,28
2018-11-25,test,weekend,autumn,15
2018-11-26,train,weekday,autumn,22
2018-11-27,train,weekday,autumn,21
2018-11-28,train,weekday,autumn,17
2018-11-29,train,weekday,autumn,24
2018-11-30,train,weekday,autumn,18
2018-12-01,train,weekend,winter,14
2018-12-02,test,weekend,winter,18
2018-12-03,test,weekday,winter,19
2018-12-04,train,weekday,winter,21
2018-12-05,train,weekday,winter,17
2018-12-06,train,weekday,winter,31
2018-12-07,train,weekday,winter,24
2018-12-08,val,weekend,winter,27
2018-12-09,train,weekend,winter,14
2018-12-10,train,weekday,winter,21
2018-12-11,val,weekday,winter,23
2018-12-12,train,weekday,winter,19
2018-12-13,train,weekday,winter,27
2018-12-14,train,weekday,winter,18
2018-12-15,train,weekend,winter,20
2018-12-16,train,weekend,winter,18
2018-12-17,val,weekday,winter,17
2018-12-18,train,weekday,winter,18
2018-12-19,train,weekday,winter,21
2018-12-20,train,weekday,winter,24
2018-12-21,train,weekday,winter,21
2018-12-22,train,weekend,winter,21
2018-12-23,val,weekend,winter,16
2018-12-24,train,weekday,winter,13
2018-12-25,train,weekday,winter,4
2018-12-26,val,weekday,winter,19
2018-12-27,test,weekday,winter,18
2018-12-28,train,weekday,winter,21
2018-12-29,train,weekend,winter,9
2018-12-30,train,weekend,winter,14
2018-12-31,test,weekday,winter,18
2019-01-01,train,weekday,winter,10
2019-01-02,train,weekday,winter,12
2019-01-03,train,weekday,winter,22
2019-01-04,test,weekday,winter,19
2019-01-05,train,weekend,winter,19
2019-01-06,test,weekend,winter,16
2019-01-07,train,weekday,winter,14
2019-01-08,train,weekday,winter,15
2019-01-09,val,weekday,winter,22
2019-01-10,train,weekday,winter,21
2019-01-11,train,weekday,winter,21
2019-01-12,train,weekend,winter,18
2019-01-13,train,weekend,winter,16
2019-01-14,train,weekday,winter,22
2019-01-15,train,weekday,winter,19
2019-01-16,train,weekday,winter,20
2019-01-17,train,weekday,winter,26
2019-01-18,test,weekday,winter,20
2019-01-19,val,weekend,winter,23
2019-01-20,train,weekend,winter,17
2019-01-21,train,weekday,winter,29
2019-01-22,val,weekday,winter,19
2019-01-23,test,weekday,winter,27
2019-01-24,train,weekday,winter,24
2019-01-25,train,weekday,winter,25
2019-01-26,train,weekend,winter,19
2019-01-27,train,weekend,winter,14
2019-01-28,train,weekday,winter,18
2019-01-29,train,weekday,winter,18
2019-01-30,test,weekday,winter,18
2019-01-31,val,weekday,winter,26
2019-02-01,test,weekday,winter,24
2019-02-02,train,weekend,winter,25
2019-02-03,test,weekend,winter,22
2019-02-04,train,weekday,winter,22
2019-02-05,val,weekday,winter,15
2019-02-06,train,weekday,winter,22
2019-02-07,train,weekday,winter,25
2019-02-08,test,weekday,winter,25
2019-02-09,train,weekend,winter,19
2019-02-10,train,weekend,winter,26
2019-02-11,train,weekday,winter,16
2019-02-12,train,weekday,winter,21
2019-02-13,train,weekday,winter,18
2019-02-14,val,weekday,winter,18
2019-02-15,train,weekday,winter,19
2019-02-16,val,weekend,winter,13
2019-02-17,train,weekend,winter,19
2019-02-18,train,weekday,winter,18
2019-02-19,train,weekday,winter,21
2019-02-20,val,weekday,winter,12
2019-02-21,train,weekday,winter,17
2019-02-22,train,weekday,winter,19
2019-02-23,train,weekend,winter,21
2019-02-24,train,weekend,winter,21
2019-02-25,train,weekday,winter,12
2019-02-26,train,weekday,winter,16
2019-02-27,train,weekday,winter,24
2019-02-28,test,weekday,winter,33
2019-03-01,test,weekday,spring,17
2019-03-02,train,weekend,spring,17
2019-03-03,train,weekend,spring,18
2019-03-04,train,weekday,spring,20
2019-03-05,train,weekday,spring,27
2019-03-06,train,weekday,spring,18
2019-03-07,test,weekday,spring,23
2019-03-08,train,weekday,spring,33
2019-03-09,train,weekend,spring,9
2019-03-10,train,weekend,spring,17
2019-03-11,train,weekday,spring,22
2019-03-12,train,weekday,spring,21
2019-03-13,val,weekday,spring,22
2019-03-14,train,weekday,spring,24
2019-03-15,train,weekday,spring,16
2019-03-16,test,weekend,spring,15
2019-03-17,train,weekend,spring,24
2019-03-18,train,weekday,spring,17
2019-03-19,train,weekday,spring,30
2019-03-20,train,weekday,spring,21
2019-03-21,val,weekday,spring,17
2019-03-22,train,weekday,spring,24
2019-03-23,val,weekend,spring,30
2019-03-24,train,weekend,spring,16
2019-03-25,train,weekday,spring,18
2019-03-26,val,weekday,spring,28
2019-03-27,train,weekday,spring,16
2019-03-28,train,weekday,spring,16
2019-03-29,test,weekday,spring,24
2019-03-30,val,weekend,spring,24
2019-03-31,train,weekend,spring,19
2019-04-01,train,weekday,spring,18
2019-04-02,train,weekday,spring,24
2019-04-03,val,weekday,spring,23
2019-04-04,train,weekday,spring,14
2019-04-05,train,weekday,spring,21
2019-04-06,train,weekend,spring,24
2019-04-07,train,weekend,spring,26
2019-04-08,train,weekday,spring,17
2019-04-09,test,weekday,spring,19
2019-04-10,val,weekday,spring,15
2019-04-11,train,weekday,spring,18
2019-04-12,val,weekday,spring,19
2019-04-13,val,weekend,spring,24
2019-04-14,test,weekend,spring,17
2019-04-15,train,weekday,spring,16
2019-04-16,test,weekday,spring,16
2019-04-17,test,weekday,spring,20
2019-04-18,train,weekday,spring,24
2019-04-19,train,weekday,spring,21
2019-04-20,train,weekend,spring,15
2019-04-21,train,weekend,spring,17
2019-04-22,train,weekday,spring,23
2019-04-23,train,weekday,spring,21
2019-04-24,test,weekday,spring,20
2019-04-25,train,weekday,spring,18
2019-04-26,train,weekday,spring,22
2019-04-27,train,weekend,spring,17
2019-04-28,train,weekend,spring,17
